name,date,time,venue,team
Disney On Ice presents Frozen & Encanto,2025-11-06,19:00:00,Delta Center,Utah Jazz
Boston Bruins vs. Ottawa Senators,2025-11-06,19:00:00,TD Garden,Boston Celtics
Los Angeles Kings vs. Florida Panthers,2025-11-06,19:30:00,Crypto.com Arena,Los Angeles Lakers
Subscription - 11/9/25,2025-11-06,20:00:00,Intuit Dome,Los Angeles Clippers
"Ana Gabriel ""Clara de Luna"" Tour",2025-11-06,20:00:00,Kia Center,Orlando Magic
"GIVEON: Dear Beloved, The Tour",2025-11-06,20:00:00,Madison Square Garden,New York Knicks
The Beaches - No Hard Feelings Tour,2025-11-06,20:00:00,Scotiabank Arena,Toronto Raptors
Madison Square Garden Tour Experience,2025-11-06,,Madison Square Garden,New York Knicks
San Antonio Spurs vs. Houston Rockets,2025-11-07,18:30:00,Frost Bank Center,San Antonio Spurs
Washington Wizards vs. Cleveland Cavaliers,2025-11-07,19:00:00,Capital One Arena,Washington Wizards
Disney On Ice presents Frozen & Encanto,2025-11-07,19:00:00,Delta Center,Utah Jazz
Memphis Grizzlies vs. Dallas Mavericks,2025-11-07,19:00:00,FedExForum,Memphis Grizzlies
Milwaukee Bucks vs. Chicago Bulls,2025-11-07,19:00:00,Fiserv Forum,Milwaukee Bucks
Sacramento Kings vs. Oklahoma City Thunder,2025-11-07,19:00:00,Golden 1 Center,Sacramento Kings
Orlando Magic vs. Boston Celtics,2025-11-07,19:00:00,Kia Center,Orlando Magic
Detroit Red Wings vs. New York Rangers,2025-11-07,19:00:00,Little Caesars Arena,Detroit Pistons
BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2025-11-07,19:00:00,Smoothie King Center,New Orleans Pelicans
NBA Cup - Utah Jazz at Minnesota Timberwolves,2025-11-07,19:00:00,Target Center,Minnesota Timberwolves
Brooklyn Nets v. Detroit Pistons (Emirates NBA Cup Group Play),2025-11-07,19:30:00,Barclays Center,Brooklyn Nets
Brooklyn Nets v. Detroit Pistons (Emirates NBA Cup Group Play),2025-11-07,19:30:00,Barclays Center,New York Knicks
Eric Church: Free The Machine Tour,2025-11-07,19:30:00,Moda Center,Portland Trail Blazers
Atlanta Hawks v. Toronto Raptors,2025-11-07,19:30:00,State Farm Arena,Atlanta Hawks
SUITES: MAROON 5,2025-11-07,20:00:00,American Airlines Center,Dallas Mavericks
NBA Cup Group Stage: Denver Nuggets vs Golden State Warriors,2025-11-07,20:00:00,Ball Arena,Denver Nuggets
SHANE GILLIS LIVE,2025-11-07,20:00:00,Chase Center,Golden State Warriors
Christian Nodal: PA'L CORA TOUR,2025-11-07,20:00:00,Intuit Dome,Los Angeles Clippers
HEAT vs. Charlotte Hornets,2025-11-07,20:00:00,Kaseya Center,Miami Heat
MANA: Vivir Sin Aire,2025-11-07,20:00:00,PHX Arena,Phoenix Suns
Jo Koy: Just Being Koy Tour,2025-11-07,20:00:00,United Center,Chicago Bulls
Madison Square Garden Tour Experience,2025-11-07,,Madison Square Garden,New York Knicks
Disney On Ice presents Frozen & Encanto,2025-11-08,11:00:00,Delta Center,Utah Jazz
Philadelphia Flyers vs. Ottawa Senators,2025-11-08,13:00:00,Xfinity Mobile Arena,Philadelphia 76ers
Disney On Ice presents Frozen & Encanto,2025-11-08,15:00:00,Delta Center,Utah Jazz
Rental: Bert Kreischer,2025-11-08,19:00:00,American Airlines Center,Dallas Mavericks
Denver Nuggets vs. Indiana Pacers,2025-11-08,19:00:00,Ball Arena,Denver Nuggets
KAYTRANADA x JUSTICE TOUR,2025-11-08,19:00:00,Barclays Center,Brooklyn Nets
KAYTRANADA x JUSTICE TOUR,2025-11-08,19:00:00,Barclays Center,New York Knicks
Washington Wizards vs. Dallas Mavericks,2025-11-08,19:00:00,Capital One Arena,Washington Wizards
Disney On Ice presents Frozen & Encanto,2025-11-08,19:00:00,Delta Center,Utah Jazz
San Antonio Spurs vs. New Orleans Pelicans,2025-11-08,19:00:00,Frost Bank Center,San Antonio Spurs
Lainey Wilson: Whirlwind World Tour,2025-11-08,19:00:00,Kia Center,Orlando Magic
NY Rangers vs NY Islanders Premium Seating,2025-11-08,19:00:00,Madison Square Garden,New York Knicks
Nate Bargatze: Big Dumb Eyes World Tour,2025-11-08,19:00:00,Moda Center,Portland Trail Blazers
Toronto Maple Leafs v Boston Bruins,2025-11-08,19:00:00,Scotiabank Arena,Toronto Raptors
BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2025-11-08,19:00:00,Smoothie King Center,New Orleans Pelicans
LA Clippers vs Phoenix Suns,2025-11-08,19:30:00,Intuit Dome,Los Angeles Clippers
Philadelphia 76ers vs. Toronto Raptors,2025-11-08,19:30:00,Xfinity Mobile Arena,Philadelphia 76ers
Shane Gillis Live,2025-11-08,20:00:00,Golden 1 Center,Sacramento Kings
HEAT vs. Portland Trail Blazers,2025-11-08,20:00:00,Kaseya Center,Miami Heat
Matt Rife,2025-11-08,20:00:00,Little Caesars Arena,Detroit Pistons
Suite Inclusive MANA 11/8,2025-11-08,20:00:00,PHX Arena,Phoenix Suns
Atlanta Hawks v. Los Angeles Lakers,2025-11-08,20:00:00,State Farm Arena,Atlanta Hawks
Comics Come Home,2025-11-08,20:00:00,TD Garden,Boston Celtics
Druski  - Premium Seating,2025-11-08,20:00:00,United Center,Chicago Bulls
St. John's Red Storm Men's Basketball v. Alabama,2025-11-08,,Madison Square Garden,New York Knicks
Disney On Ice presents Frozen & Encanto,2025-11-09,13:00:00,Delta Center,Utah Jazz
Detroit Red Wings vs. Chicago Blackhawks,2025-11-09,13:00:00,Little Caesars Arena,Detroit Pistons
Milwaukee Bucks vs. Houston Rockets,2025-11-09,14:30:00,Fiserv Forum,Milwaukee Bucks
Disney On Ice presents Frozen & Encanto,2025-11-09,17:00:00,Delta Center,Utah Jazz
Memphis Grizzlies vs. Oklahoma City Thunder,2025-11-09,17:00:00,FedExForum,Memphis Grizzlies
Warriors vs. Pacers,2025-11-09,17:30:00,Chase Center,Golden State Warriors
Dallas Stars vs. Seattle Kraken,2025-11-09,18:00:00,American Airlines Center,Dallas Mavericks
Sacramento Kings vs. Minnesota Timberwolves,2025-11-09,18:00:00,Golden 1 Center,Sacramento Kings
Orlando Magic vs. Boston Celtics,2025-11-09,18:00:00,Kia Center,Orlando Magic
New York Knicks vs. Brooklyn Nets,2025-11-09,18:00:00,Madison Square Garden,New York Knicks
Pentatonix - Suites,2025-11-09,19:00:00,Ball Arena,Denver Nuggets
KAYTRANADA x JUSTICE TOUR,2025-11-09,19:00:00,Barclays Center,Brooklyn Nets
KAYTRANADA x JUSTICE TOUR,2025-11-09,19:00:00,Barclays Center,New York Knicks
TBD,2025-11-09,19:00:00,Gainbridge Fieldhouse,Indiana Pacers
Nate Bargatze: Big Dumb Eyes World Tour,2025-11-09,19:00:00,Moda Center,Portland Trail Blazers
Bert Kreischer,2025-11-09,19:00:00,Paycom Center,Oklahoma City Thunder
Toronto Maple Leafs v Carolina Hurricanes,2025-11-09,19:00:00,Scotiabank Arena,Toronto Raptors
Philadelphia 76ers vs. Detroit Pistons,2025-11-09,19:30:00,Xfinity Mobile Arena,Philadelphia 76ers
RYAN CASTRO: SENDÉ WORLD TOUR 2025,2025-11-09,20:30:00,Kaseya Center,Miami Heat
Madison Square Garden Tour Experience,2025-11-09,,Madison Square Garden,New York Knicks
Indiana Hoosiers Mens Basketball vs. Marquette Golden Eagles Mens Basketball,2025-11-09,,United Center,Chicago Bulls
team,2025-11-10,08:00:00,Intuit Dome,Los Angeles Clippers
Utah Jazz vs. Minnesota Timberwolves,2025-11-10,19:00:00,Delta Center,Utah Jazz
Orlando Magic vs. Portland Trail Blazers,2025-11-10,19:00:00,Kia Center,Orlando Magic
Detroit Pistons vs. Washington Wizards,2025-11-10,19:00:00,Little Caesars Arena,Detroit Pistons
New York Rangers vs. Nashville Predators,2025-11-10,19:00:00,Madison Square Garden,New York Knicks
SABRINA CARPENTER: SHORT N' SWEET TOUR,2025-11-10,19:00:00,Scotiabank Arena,Toronto Raptors
Charlotte Hornets vs. Los Angeles Lakers,2025-11-10,19:00:00,Spectrum Center,Charlotte Hornets
Chicago Bulls vs. San Antonio Spurs,2025-11-10,19:00:00,United Center,Chicago Bulls
Playboi Carti: Antagonist Tour,2025-11-10,19:00:00,Xfinity Mobile Arena,Philadelphia 76ers
Dallas Mavericks vs. Milwaukee Bucks,2025-11-10,19:30:00,American Airlines Center,Dallas Mavericks
LA Clippers vs Atlanta Hawks,2025-11-10,19:30:00,Intuit Dome,Los Angeles Clippers
Miami Heat vs. Cleveland Cavaliers,2025-11-10,19:30:00,Kaseya Center,Miami Heat
French  Heritage Night,2025-11-10,20:00:00,United Center,Chicago Bulls
Madison Square Garden Tour Experience,2025-11-10,,Madison Square Garden,New York Knicks
Blue vs. City Mascot,2025-11-11,11:00:00,Paycom Center,Oklahoma City Thunder
Playboi Carti: Antagonist Tour,2025-11-11,19:00:00,Capital One Arena,Washington Wizards
Utah Jazz vs. Indiana Pacers,2025-11-11,19:00:00,Delta Center,Utah Jazz
Orlando Solar Bears vs. Atlanta Gladiators,2025-11-11,19:00:00,Kia Center,Orlando Magic
Michigan vs Wake Forest,2025-11-11,19:00:00,Little Caesars Arena,Detroit Pistons
Thunder vs. Golden State Warriors - SUITE,2025-11-11,19:00:00,Paycom Center,Oklahoma City Thunder
SABRINA CARPENTER: SHORT N' SWEET TOUR,2025-11-11,19:00:00,Scotiabank Arena,Toronto Raptors
Boston Bruins vs. Toronto Maple Leafs,2025-11-11,19:00:00,TD Garden,Boston Celtics
Colorado Avalanche vs. Anaheim Ducks,2025-11-11,19:30:00,Ball Arena,Denver Nuggets
Brooklyn Nets v. Toronto Raptors,2025-11-11,19:30:00,Barclays Center,Brooklyn Nets
Brooklyn Nets v. Toronto Raptors,2025-11-11,19:30:00,Barclays Center,New York Knicks
New York Knicks vs. Memphis Grizzlies,2025-11-11,19:30:00,Madison Square Garden,New York Knicks
NBA YoungBoy - MASA TOUR,2025-11-11,19:30:00,Moda Center,Portland Trail Blazers
Sacramento Kings vs. Denver Nuggets,2025-11-11,20:00:00,Golden 1 Center,Sacramento Kings
Subscription - 11/10/25,2025-11-11,20:00:00,Intuit Dome,Los Angeles Clippers
MAROON 5,2025-11-11,20:00:00,State Farm Arena,Atlanta Hawks
Philadelphia 76ers vs. Boston Celtics,2025-11-11,20:00:00,Xfinity Mobile Arena,Philadelphia 76ers
Wolverine-Deacon Challenge,2025-11-11,,Little Caesars Arena,Detroit Pistons
Madison Square Garden Tour Experience,2025-11-11,,Madison Square Garden,New York Knicks
Utah Mammoth vs. Buffalo Sabres,2025-11-12,19:00:00,Delta Center,Utah Jazz
San Antonio Spurs vs. Golden State Warriors,2025-11-12,19:00:00,Frost Bank Center,San Antonio Spurs
Sacramento Kings vs. Atlanta Hawks,2025-11-12,19:00:00,Golden 1 Center,Sacramento Kings
Detroit Pistons vs. Chicago Bulls,2025-11-12,19:00:00,Little Caesars Arena,Detroit Pistons
New York Knicks vs. Orlando Magic,2025-11-12,19:00:00,Madison Square Garden,New York Knicks
New Orleans Pelicans vs. Portland Trail Blazers,2025-11-12,19:00:00,Smoothie King Center,New Orleans Pelicans
Charlotte Hornets vs. Milwaukee Bucks,2025-11-12,19:00:00,Spectrum Center,Charlotte Hornets
KAYTRANADA X JUSTICE,2025-11-12,19:00:00,State Farm Arena,Atlanta Hawks
Dallas Mavericks vs. Phoenix Suns,2025-11-12,19:30:00,American Airlines Center,Dallas Mavericks
LA Clippers vs Denver Nuggets,2025-11-12,19:30:00,Intuit Dome,Los Angeles Clippers
Miami Heat vs. Cleveland Cavaliers,2025-11-12,19:30:00,Kaseya Center,Miami Heat
Boston Celtics vs. Memphis Grizzlies,2025-11-12,19:30:00,TD Garden,Boston Celtics
Philadelphia Flyers vs. Edmonton Oilers,2025-11-12,19:30:00,Xfinity Mobile Arena,Philadelphia 76ers
Oklahoma City Thunder vs. Los Angeles Lakers,2025-11-12,20:30:00,Paycom Center,Oklahoma City Thunder
Chicago Blackhawks vs. New Jersey Devils,2025-11-12,20:30:00,United Center,Chicago Bulls
Postgame Pass - Memphis Grizzlies,2025-11-12,21:30:00,TD Garden,Boston Celtics
Madison Square Garden Tour Experience,2025-11-12,,Madison Square Garden,New York Knicks
Colorado Avalanche vs. Buffalo Sabres,2025-11-13,19:00:00,Ball Arena,Denver Nuggets
Utah Jazz vs. Atlanta Hawks,2025-11-13,19:00:00,Delta Center,Utah Jazz
Detroit Red Wings vs. Anaheim Ducks,2025-11-13,19:00:00,Little Caesars Arena,Detroit Pistons
Blue vs. City Mascot,2025-11-13,19:00:00,Paycom Center,Oklahoma City Thunder
Toronto Maple Leafs v Los Angeles Kings,2025-11-13,19:00:00,Scotiabank Arena,Toronto Raptors
Brandy & Monica Luxury,2025-11-13,19:00:00,Spectrum Center,Charlotte Hornets
LEXUS RESERVE: Bryan Adams,2025-11-13,19:30:00,American Airlines Center,Dallas Mavericks
Eric Church: Free The Machine Tour,2025-11-13,19:30:00,Golden 1 Center,Sacramento Kings
2025-26 Test Game 42,2025-11-13,20:00:00,Intuit Dome,Los Angeles Clippers
NY Comedy Festival Presents The Basement Yard,2025-11-13,20:00:00,Madison Square Garden,New York Knicks
 Brandy & Monica: The Boy Is Mine Tour,2025-11-13,20:00:00,Spectrum Center,Charlotte Hornets
GABRIEL IGLESIAS,2025-11-13,20:00:00,State Farm Arena,Atlanta Hawks
Maroon 5: LOVE IS LIKE Tour,2025-11-13,20:00:00,United Center,Chicago Bulls
Madison Square Garden Tour Experience,2025-11-13,,Madison Square Garden,New York Knicks
Hall of Fame Los Angeles Suites,2025-11-14,17:00:00,Intuit Dome,Los Angeles Clippers
Hall of Fame Series: Arizona vs UCLA,2025-11-14,18:00:00,Intuit Dome,Los Angeles Clippers
Utah Mammoth vs. New York Islanders,2025-11-14,19:00:00,Delta Center,Utah Jazz
Milwaukee Bucks vs. Charlotte Hornets,2025-11-14,19:00:00,Fiserv Forum,Milwaukee Bucks
Orlando Magic vs. Brooklyn Nets,2025-11-14,19:00:00,Kia Center,Orlando Magic
New York Knicks vs. Miami Heat,2025-11-14,19:00:00,Madison Square Garden,New York Knicks
NBA Cup - LA Lakers at New Orleans Pelicans,2025-11-14,19:00:00,Smoothie King Center,New Orleans Pelicans
Playboi Carti: Antagonist Tour,2025-11-14,19:00:00,Spectrum Center,Charlotte Hornets
NBA Cup - Sacramento Kings at Minnesota Timberwolves,2025-11-14,19:00:00,Target Center,Minnesota Timberwolves
Dallas Mavericks vs. LA Clippers,2025-11-14,19:30:00,American Airlines Center,Dallas Mavericks
Detroit Pistons v Philadelphia 76ers (Emirates NBA Cup Group Play),2025-11-14,19:30:00,Little Caesars Arena,Detroit Pistons
Playboi Carti Luxury,2025-11-14,19:30:00,Spectrum Center,Charlotte Hornets
SIGUR RÓS with WORDLESS MUSIC ORCHESTRA,2025-11-14,20:00:00,Moda Center,Portland Trail Blazers
Christian Nodal: GIRA 2025,2025-11-14,20:00:00,PHX Arena,Phoenix Suns
Suites - DRUSKI: THE COULDA FEST TOUR,2025-11-14,20:00:00,Xfinity Mobile Arena,Philadelphia 76ers
San Antonio Spurs vs. Golden State Warriors,2025-11-14,20:30:00,Frost Bank Center,San Antonio Spurs
Hall of Fame Los Angeles: UCLA v. Arizona/USC v. Illinois State,2025-11-14,,Intuit Dome,Los Angeles Clippers
Madison Square Garden Tour Experience,2025-11-14,,Madison Square Garden,New York Knicks
Basketball on Broad: Autumn Invitational,2025-11-15,12:00:00,Xfinity Mobile Arena,Philadelphia 76ers
Trans-Siberian Orchestra - Suites,2025-11-15,14:30:00,Ball Arena,Denver Nuggets
The Real SC: USC vs South Carolina Womens Basketball,2025-11-15,16:00:00,Crypto.com Arena,Los Angeles Lakers
Ben Rector - The Richest Man In The World Tour,2025-11-15,18:00:00,Delta Center,Utah Jazz
UFC 322,2025-11-15,18:00:00,Madison Square Garden,New York Knicks
Chicago Blackhawks vs. Toronto Maple Leafs,2025-11-15,18:00:00,United Center,Chicago Bulls
Dallas Stars vs. Philadelphia Flyers,2025-11-15,19:00:00,American Airlines Center,Dallas Mavericks
Capitals vs Devils,2025-11-15,19:00:00,Capital One Arena,Washington Wizards
Milwaukee Bucks vs. Los Angeles Lakers,2025-11-15,19:00:00,Fiserv Forum,Milwaukee Bucks
Indiana Pacers vs. Toronto Raptors,2025-11-15,19:00:00,Gainbridge Fieldhouse,Indiana Pacers
Brandon Lake - King of Hearts Tour,2025-11-15,19:00:00,Golden 1 Center,Sacramento Kings
Orlando Solar Bears vs. South Carolina Stingrays,2025-11-15,19:00:00,Kia Center,Orlando Magic
Detroit Red Wings vs. Buffalo Sabres,2025-11-15,19:00:00,Little Caesars Arena,Detroit Pistons
Stevie Nicks,2025-11-15,19:00:00,Scotiabank Arena,Toronto Raptors
Charlotte Hornets vs. Oklahoma City Thunder,2025-11-15,19:00:00,Spectrum Center,Charlotte Hornets
NATE BARGATZE,2025-11-15,19:00:00,State Farm Arena,Atlanta Hawks
Hall of Fame Series – UCONN vs. BYU,2025-11-15,19:00:00,TD Garden,Boston Celtics
Minnesota Timberwolves vs. Denver Nuggets,2025-11-15,19:00:00,Target Center,Minnesota Timberwolves
Trans-Siberian Orchestra - Suites,2025-11-15,19:30:00,Ball Arena,Denver Nuggets
Eric Church: Free The Machine Tour,2025-11-15,19:30:00,Intuit Dome,Los Angeles Clippers
Bryan Adams: Roll With The Punches,2025-11-15,19:30:00,PHX Arena,Phoenix Suns
Eric Church Cabana Pass,2025-11-15,20:00:00,Intuit Dome,Los Angeles Clippers
Jo Koy: Just Being Koy Tour,2025-11-15,20:00:00,Kaseya Center,Miami Heat
Gabriel Iglesias: The 1976 Tour,2025-11-15,20:00:00,Kia Center,Orlando Magic
85 South,2025-11-15,20:00:00,Smoothie King Center,New Orleans Pelicans
RYAN CASTRO: SENDÉ WORLD TOUR 2025,2025-11-15,20:30:00,Barclays Center,Brooklyn Nets
RYAN CASTRO: SENDÉ WORLD TOUR 2025,2025-11-15,20:30:00,Barclays Center,New York Knicks
Madison Square Garden Tour Experience,2025-11-15,,Madison Square Garden,New York Knicks
San Antonio Spurs vs. Sacramento Kings,2025-11-16,15:00:00,Frost Bank Center,San Antonio Spurs
Boston Celtics vs. LA Clippers,2025-11-16,15:30:00,TD Garden,Boston Celtics
Postgame Pass - LA Clippers,2025-11-16,17:30:00,TD Garden,Boston Celtics
Washington Wizards vs. Brooklyn Nets,2025-11-16,18:00:00,Capital One Arena,Washington Wizards
Utah Jazz vs. Chicago Bulls,2025-11-16,18:00:00,Delta Center,Utah Jazz
New Orleans Pelicans vs. Golden State Warriors,2025-11-16,18:00:00,Smoothie King Center,New Orleans Pelicans
Dallas Mavericks vs. Portland Trail Blazers,2025-11-16,18:30:00,American Airlines Center,Dallas Mavericks
Colorado Avalanche vs. New York Islanders,2025-11-16,19:00:00,Ball Arena,Denver Nuggets
Sabrina Carpenter w/ Ravyn Lenae,2025-11-16,19:00:00,Crypto.com Arena,Los Angeles Lakers
KAYTRANADA x JUSTICE TOUR,2025-11-16,19:00:00,Kaseya Center,Miami Heat
New York Rangers vs. Detroit Red Wings,2025-11-16,19:00:00,Madison Square Garden,New York Knicks
NATE BARGATZE,2025-11-16,19:00:00,State Farm Arena,Atlanta Hawks
Eagles Adrian Pass 11/16/25,2025-11-16,20:20:00,Xfinity Mobile Arena,Philadelphia 76ers
Madison Square Garden Tour Experience,2025-11-16,,Madison Square Garden,New York Knicks
YouVersion Beyond A Billion: A Night Celebrating The Bible,2025-11-17,18:30:00,Paycom Center,Oklahoma City Thunder
Denver Nuggets vs. Chicago Bulls,2025-11-17,19:00:00,Ball Arena,Denver Nuggets
Capitals vs Kings (Upside Down Hat Giveaway),2025-11-17,19:00:00,Capital One Arena,Washington Wizards
Sabrina Carpenter w/ Ravyn Lenae,2025-11-17,19:00:00,Crypto.com Arena,Los Angeles Lakers
Detroit Pistons vs. Indiana Pacers,2025-11-17,19:00:00,Little Caesars Arena,Detroit Pistons
New Orleans Pelicans vs. Oklahoma City Thunder,2025-11-17,19:00:00,Smoothie King Center,New Orleans Pelicans
Boston Bruins vs. Carolina Hurricanes,2025-11-17,19:00:00,TD Garden,Boston Celtics
Minnesota Timberwolves vs. Dallas Mavericks,2025-11-17,19:00:00,Target Center,Minnesota Timberwolves
Philadelphia 76ers vs. LA Clippers,2025-11-17,19:00:00,Xfinity Mobile Arena,Philadelphia 76ers
Miami Heat vs. New York Knicks,2025-11-17,19:30:00,Kaseya Center,Miami Heat
Toronto Raptors vs Charlotte Hornets,2025-11-17,19:30:00,Scotiabank Arena,Toronto Raptors
Madison Square Garden Tour Experience,2025-11-17,,Madison Square Garden,New York Knicks
Dallas Stars vs. New York Islanders,2025-11-18,19:00:00,American Airlines Center,Dallas Mavericks
San Antonio Spurs vs. Memphis Grizzlies,2025-11-18,19:00:00,Frost Bank Center,San Antonio Spurs
Orlando Magic v Golden State Warriors,2025-11-18,19:00:00,Kia Center,Orlando Magic
Detroit Red Wings vs. Seattle Kraken,2025-11-18,19:00:00,Little Caesars Arena,Detroit Pistons
Billie Eilish: Hit Me Hard and Soft: The Tour,2025-11-18,19:00:00,PHX Arena,Phoenix Suns
Toronto Maple Leafs v St. Louis Blues,2025-11-18,19:00:00,Scotiabank Arena,Toronto Raptors
Brooklyn Nets v. Boston Celtics,2025-11-18,19:30:00,Barclays Center,Brooklyn Nets
Brooklyn Nets v. Boston Celtics,2025-11-18,19:30:00,Barclays Center,New York Knicks
Los Angeles Lakers vs. Utah Jazz,2025-11-18,19:30:00,Crypto.com Arena,Los Angeles Lakers
Chicago Blackhawks vs. Calgary Flames,2025-11-18,19:30:00,United Center,Chicago Bulls
2025-26 Test Game 43,2025-11-18,20:00:00,Intuit Dome,Los Angeles Clippers
Portland Trail Blazers vs. Phoenix Suns,2025-11-18,20:00:00,Moda Center,Portland Trail Blazers
Atlanta Hawks v. Detroit Pistons,2025-11-18,20:00:00,State Farm Arena,Atlanta Hawks
Champions Classic: Michigan State v Kentucky | Kansas v Duke,2025-11-18,,Madison Square Garden,New York Knicks
Stevie Nicks,2025-11-19,19:00:00,Barclays Center,Brooklyn Nets
Stevie Nicks,2025-11-19,19:00:00,Barclays Center,New York Knicks
Capitals vs Oilers (80s Night),2025-11-19,19:00:00,Capital One Arena,Washington Wizards
Sabrina Carpenter w/ Ravyn Lenae,2025-11-19,19:00:00,Crypto.com Arena,Los Angeles Lakers
2526 Fan Experience Package 11/19/2025,2025-11-19,19:00:00,Gainbridge Fieldhouse,Indiana Pacers
HEAT vs. Golden State Warriors,2025-11-19,19:00:00,Kaseya Center,Miami Heat
